Manufacturer,Model,Component ID,Location,System,Part Number,Serial Number,IP Address,Summarize,Optional,Category,Subcategory,Short Description,Long Description,Accounting Estimate Number,Accounting Item Name,Vendor,Height,Width,Depth,Weight,Rack Mounted,Rack Units,Amps,Volts,Watts,BTU,Dispersion,Bulk Wire,Wire Length,Head End,Start Terminal,End Terminal,Input Terminals,Input Signals,Input Labels,Output Terminals,Output Signals,Output Labels,Order Status,Order Number,Ordered Date,Received Date,Installed,Installed Date,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Custom Field 7,Custom Field 8,Custom Field 9,Custom Field 10,Custom Field 11,Custom Field 12,Custom Field 13,Custom Field 14
Crestron,ESSENCE_IC8-W-T,IN--001,Mn Floor\W. Kitchen,Distributed Audio,,,,FALSE,FALSE,Speakers,In-Ceiling,"Essence 8'' 2-Way In-Ceiling Speakers, 175w program.  White Textured. Ultimate performance 2-way in-ceiling loudspeakers - Designed by Crestron to please the most ardent listener and the most demanding interior designer - with thoughtful features that simplify installation. (each)",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,SPKA-NCTP-IC800,ACC-001,Mn Floor\W. Kitchen,Distributed Audio,,,,FALSE,FALSE,Speakers,Accessory,"New-Construction Speaker Templates for Excite, Aspire, & Essence IC8 & IC8DT, 1 Pair",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,14-Feb,SPE-001,Mn Floor\W. Kitchen,Distributed Audio,PCS- SWIHS14-02-White-150R,,,FALSE,FALSE,Wire and Cable,speaker cable,14/2 High Strand Speaker Cable,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
OTA,Installation - .5Hrs,'001,Mn Floor\W. Kitchen,Distributed Audio,,,,FALSE,FALSE,Labor,,Installation Labour,,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-026,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-027,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-028,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-029,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,ESSENCE_IC8-W-T,IN--026,Bsmt\Bar,Distributed Audio,,,,FALSE,FALSE,Speakers,In-Ceiling,"Essence 8'' 2-Way In-Ceiling Speakers, 175w program.  White Textured. Ultimate performance 2-way in-ceiling loudspeakers - Designed by Crestron to please the most ardent listener and the most demanding interior designer - with thoughtful features that simplify installation. (each)",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,SPKA-NCTP-IC800,ACC-026,Bsmt\Bar,Distributed Audio,,,,FALSE,FALSE,Speakers,Accessory,"New-Construction Speaker Templates for Excite, Aspire, & Essence IC8 & IC8DT, 1 Pair",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
